"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "YAML", "Ignore", "JavaScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\components\pop-up-player\pop-up-player.component.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\components\scroll-box\scroll-box.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\components\scroll-box\scroll-box.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 2, 34
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\components\scroll-box\scroll-box.component.spec.ts", "TypeScript", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 16, 172
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\components\scroll-box\scroll-box.component.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 7, 49
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\components\waiting-room\waiting-room.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\components\waiting-room\waiting-room.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\components\waiting-room\waiting-room.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\components\waiting-room\waiting-room.component.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\const.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\interfaces\gameData.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\interfaces\time.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\interfaces\vec2.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\modules\app-routing.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\modules\material.module.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 41, 3, 79
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\app\app.component.spec.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\app\app.component.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\config-page\config-page.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 2, 38
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\config-page\config-page.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 10, 68
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\config-page\config-page.component.spec.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\config-page\config-page.component.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\creation-page\creation-page.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 10, 79
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\creation-page\creation-page.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 26, 176
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\creation-page\creation-page.component.spec.ts", "TypeScript", 0, 0, 127, 0, 0, 0, 0, 0, 0, 7, 27, 161
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\creation-page\creation-page.component.ts", "TypeScript", 0, 0, 143, 0, 0, 0, 0, 0, 0, 3, 20, 166
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\game-page\game-page.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 3, 66
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\game-page\game-page.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 12, 81
